Trial ,Batch,Author,Year,Mean Age,Age Group,Paradigm,General Paradigm,General Paradigm 2,Stimuli Modality,Stimuli Domain,Pattern Type,Pattern Range,Test SL,General Test SL,SL Test Measure,Language Aspect,Language Test,Language Test Category,Language Test Category 2,Language Test Category 3,Language Related Disorder,Disorder Population,Sample Size,ES,SE,Fisher's Z,Fisher's SE
170,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Self-paced reading,Syntax,Syntax,Comprehension,TD,TD,131,-0.027,0.087982793,-0.026606276,0.088388348
171,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Timed aurally grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.142,0.086269749,0.142966145,0.088388348
172,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Untimed aurally grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.07,0.087611201,0.070315658,0.088388348
173,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Oral production ,Comprehension,Comprehension,Comprehension,TD,TD,131,-0.063,0.087694529,-0.063183947,0.088388348
174,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Elicited imitation ,Comprehension,Comprehension,Comprehension,TD,TD,131,0.071,0.087601255,0.071119666,0.088388348
175,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Timed written grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.229,0.083427918,0.233133868,0.088388348
176,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Untimed written grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.013,0.088029981,0.013100749,0.088388348
177,Original,Godfroid and Kim (2021),2021,"24,000",Adults,ASRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,Quadruplet,Non-adjacent,Reaction time,Reaction time,Processing based,Processing,Metalinguistic knowledge test ,Syntax,Syntax,Comprehension,TD,TD,131,0.074,0.087566857,0.073833875,0.088388348
178,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Word monitoring test ,Syntax,Syntax,Comprehension,TD,TD,131,-0.184,0.085064236,-0.18611973,0.088388348
179,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Self-paced reading,Syntax,Syntax,Comprehension,TD,TD,131,0.104,0.087092795,0.104377407,0.088388348
180,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Timed aurally grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.137,0.086392572,0.137866901,0.088388348
181,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Untimed aurally grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.039,0.087911174,0.039019791,0.088388348
182,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Oral production ,Comprehension,Comprehension,Comprehension,TD,TD,131,-0.015,0.088024749,-0.015201171,0.088388348
183,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Elicited imitation ,Comprehension,Comprehension,Comprehension,TD,TD,131,-0.1,0.087168158,-0.100133332,0.088388348
184,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Timed written grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,-0.005,0.088043252,-0.004570032,0.088388348
185,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Untimed written grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.181,0.085160645,0.183016366,0.088388348
186,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Auditory,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Metalinguistic knowledge test ,Syntax,Syntax,Comprehension,TD,TD,131,0.03,0.087967427,0.029708737,0.088388348
187,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Word monitoring test ,Syntax,Syntax,Comprehension,TD,TD,131,-0.341,0.077807119,-0.355223674,0.088388348
188,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Self-paced reading,Syntax,Syntax,Comprehension,TD,TD,131,-0.012,0.088033243,-0.01160052,0.088388348
189,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Timed aurally grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.1,0.087173422,0.099830323,0.088388348
190,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Untimed aurally grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.052,0.087810665,0.051645869,0.088388348
191,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Oral production ,Comprehension,Comprehension,Comprehension,TD,TD,131,-0.089,0.087341403,-0.089639321,0.088388348
192,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Elicited imitation ,Comprehension,Comprehension,Comprehension,TD,TD,131,-0.022,0.088002477,-0.02200355,0.088388348
193,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Timed written grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,-0.027,0.08797899,-0.02740686,0.088388348
194,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Untimed written grammaticality judgement task,Syntax,Syntax,Comprehension,TD,TD,131,0.183,0.085096549,0.185084885,0.088388348
195,Original,Godfroid and Kim (2021),2021,"24,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Processing,Metalinguistic knowledge test ,Syntax,Syntax,Comprehension,TD,TD,131,0.017,0.088020829,0.016601525,0.088388348
196,Original,Ellis et al. (2021),2021,"2,000",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Processing based,Acquisition,Communicative Development Inventory,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,47,0.335,0.132341683,0.348449765,0.150755672
197,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Non-linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Processing based,Acquisition,Communicative Development Inventory,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,82,0.06,0.111400907,0.060072156,0.11250879
198,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Non-linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Processing based,Acquisition,Communicative Development Inventory,Expressive vocabulary ,Vocabulary,Vocabulary,TD,TD,82,-0.08,0.111087857,-0.080171325,0.11250879
199,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Non-linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Processing based,Acquisition,Communicative Development Inventory,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,82,0.06,0.111400907,0.060072156,0.11250879
200,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Non-linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Processing based,Acquisition,Communicative Development Inventory,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,82,0.15,0.109287822,0.151140436,0.11250879
201,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Visuospatial pattern learning,TP Learning,TP Learning,Visual/Spatial,Non-linguistic,Duplet,Adjacent,3AFC,Forced choice test,Reflection based,Acquisition,Communicative Development Inventory,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,65,-0.05,0.125673187,-0.050041729,0.127000127
202,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Visuospatial pattern learning,TP Learning,TP Learning,Visual/Spatial,Non-linguistic,Duplet,Adjacent,3AFC,Forced choice test,Reflection based,Acquisition,Communicative Development Inventory,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,65,-0.07,0.125370816,-0.070114671,0.127000127
203,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Visuospatial pattern learning,TP Learning,TP Learning,Visual/Spatial,Non-linguistic,Duplet,Adjacent,3AFC,Forced choice test,Reflection based,Acquisition,Communicative Development Inventory,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,82,0.22,0.106392114,0.223656109,0.11250879
204,Original,Gerbrand et al. (2022),2022,"1,500",Infants,Visuospatial pattern learning,TP Learning,TP Learning,Visual/Spatial,Non-linguistic,Duplet,Adjacent,3AFC,Forced choice test,Reflection based,Acquisition,Communicative Development Inventory,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,82,0.3,0.101741093,0.309519604,0.11250879
205,Original,Mainela-Arnold and Evans (2014),2014,"9,880",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Gating task,Phonology,Phonology,Phonology,SLI/Control,Mixed,40,-0.38,0.138796648,-0.40005965,0.164398987
206,Original,Mainela-Arnold and Evans (2014),2014,"9,880",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Word definition task,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,40,0.25,0.152082582,0.255412812,0.164398987
207,Original,Mainela-Arnold and Evans (2014),2014,"9,990",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Gating task,Phonology,Phonology,Phonology,SLI,Clinical,20,-0.2,0.22627417,-0.202732554,0.242535625
208,Original,Mainela-Arnold and Evans (2014),2014,"9,990",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Word definition task,Expressive vocabulary,Vocabulary,Vocabulary,SLI,Clinical,20,-0.2,0.22627417,-0.202732554,0.242535625
209,Original,Mainela-Arnold and Evans (2014),2014,"9,780",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Gating task,Phonology,Phonology,Phonology,TD,TD,20,-0.28,0.217223203,-0.287682073,0.242535625
210,Original,Mainela-Arnold and Evans (2014),2014,"9,780",Children,Triplet learning,TP Learning,TP Learning,Auditory,Linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Word definition task,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,20,-0.1,0.233345238,-0.100335348,0.242535625
211,Original,Lammertink et al. (2020),2020,"9,083",Children,SRRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,10-item sequence,Adjacent,Reaction time,Reaction time,Processing based,Processing,Sentence recall task (CELF-4),Syntax,Syntax,Comprehension,TD,TD,36,0.18,0.165942031,0.181982689,0.174077656
212,Original,Lammertink et al. (2020),2020,"9,083",Children,SRRT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,10-item sequence,Adjacent,Reaction time,Reaction time,Processing based,Processing,Sentence recall task (CELF-4),Syntax,Syntax,Comprehension,DLD,Clinical,35,-0.33,0.155120599,-0.342828254,0.176776695
213,Original,Lammertink et al. (2020),2020,"9,083",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Word reading,Reading,Reading,Literacy,DLD,Clinical,36,0.07,0.170658242,0.070114671,0.174077656
214,Original,Lammertink et al. (2020),2020,"9,083",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Pseudoword reading,Reading,Reading,Literacy,DLD,Clinical,36,-0.014,0.171464971,-0.014000915,0.174077656
215,Original,Lammertink et al. (2020),2020,"9,083",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Word Spelling with a sentence context but only spell out one word,Orthography,Orthography,Literacy,DLD,Clinical,36,0.13,0.168600259,0.13073985,0.174077656
216,Original,"Tong, Leung and Tong (2019)",2019,"7,657",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Chinese word reading (HKT-SpLD),Reading,Reading,Literacy,DLD/Control,Mixed,72,0.46,0.094231824,0.497311288,0.120385853
217,Original,"Tong, Leung and Tong (2019)",2019,"7,657",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Chinese word dictation (HKT-SpLD),Orthography,Orthography,Literacy,DLD/Control,Mixed,72,0.39,0.101343434,0.411800035,0.120385853
218,Original,"Tong, Leung and Tong (2019)",2019,"7,657",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Orthographic awareness,Orthography,Orthography,Literacy,DLD/Control,Mixed,72,0.5,0.089642146,0.549306144,0.120385853
219,Original,Venker (2019),2019,"4,833",Children,Cross-Situational Word Learning,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,19,0.37,0.209332498,0.3884231,0.25
220,Original,Venker (2019),2019,"4,833",Children,Cross-Situational Word Learning,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Familiar word processing,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,19,0.46,0.191215087,0.497311288,0.25
221,Original,Venker (2019),2019,"6,333",Children,Cross-Situational Word Learning,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 4,Receptive vocabulary,Vocabulary,Vocabulary,ASD,Clinical,16,0.46,0.210708763,0.497311288,0.277350098
222,Original,Venker (2019),2019,"6,333",Children,Cross-Situational Word Learning,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Familiar word processing,Receptive vocabulary,Vocabulary,Vocabulary,ASD,Clinical,18,0.6,0.16,0.693147181,0.25819889
223,Original,Pavlidou and Bogaerts (2019),2019,"8,470",Children,AGL,AGL,AGL,Visual,Non-linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,CTOPP 2 - phonological awareness ,Phonology,Phonology,Phonology,TD,TD,31,0.46,0.146402205,0.497311288,0.188982237
224,Original,Pavlidou and Bogaerts (2019),2019,"8,470",Children,AGL,AGL,AGL,Visual,Non-linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Woodcock - Johnson - 4 - basic reading,Reading,Reading,Literacy,TD,TD,31,0.11,0.183448425,0.110446916,0.188982237
225,Original,Pavlidou and Bogaerts (2019),2019,"8,470",Children,AGL,AGL,AGL,Visual,Non-linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Woodcock - Johnson - 4 - reading fluency,Reading,Reading,Literacy,TD,TD,31,0.16,0.180941538,0.161386696,0.188982237
226,Original,Pavlidou and Bogaerts (2019),2019,"8,470",Children,AGL,AGL,AGL,Auditory,Non-linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,CTOPP 2 - phonological awareness ,Phonology,Phonology,Phonology,TD,TD,31,0.16,0.180941538,0.161386696,0.188982237
227,Original,Pavlidou and Bogaerts (2019),2019,"8,470",Children,AGL,AGL,AGL,Auditory,Non-linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Woodcock - Johnson - 4 - basic reading,Reading,Reading,Literacy,TD,TD,31,0.31,0.167850016,0.320545409,0.188982237
228,Original,Pavlidou and Bogaerts (2019),2019,"8,470",Children,AGL,AGL,AGL,Auditory,Non-linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Woodcock - Johnson - 4 - reading fluency,Reading,Reading,Literacy,TD,TD,31,0.22,0.176707684,0.223656109,0.188982237
229,Original,"Torkildsen, Arciuli and Wie  (2019)",2019,"10,300",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Test of Word Reading Efficiency,Reading,Reading,Literacy,TD,TD,65,0.3,0.114649224,0.309519604,0.127000127
230,Original,"Torkildsen, Arciuli and Wie  (2019)",2019,"10,300",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,65,0.14,0.12351879,0.140925576,0.127000127
231,Original,"Torkildsen, Arciuli and Wie  (2019)",2019,"10,300",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,65,0.13,0.123858958,0.13073985,0.127000127
232,Original,"Torkildsen, Arciuli and Wie  (2019)",2019,"10,300",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Clinical Evaluation of Language Fundamentals - 4,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,65,-0.08,0.125181834,-0.080171325,0.127000127
233,Original,"Torkildsen, Arciuli and Wie  (2019)",2019,"10,300",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,British Picture Vocabulary Scale II,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,65,-0.03,0.125874768,-0.030009005,0.127000127
234,Original,"Samara, Singh, Wonnacott (2019)",2019,"6,985",Children,Duplet learning,TP Learning,TP Learning,Visual,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,WRAT - 4,Reading,Reading,Literacy,TD,TD,18,-0.15,0.244375,-0.151140436,0.25819889
235,Original,"Samara, Singh, Wonnacott (2019)",2019,"6,985",Children,Duplet learning,TP Learning,TP Learning,Visual,Linguistic,Duplet,Non-adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Test of Word Reading Efficiency,Reading,Reading,Literacy,TD,TD,57,0.11,0.133208409,0.110446916,0.136082764
236,Original,Daltrozzo et al. (2017),2016,"23,940",Adults,Target detection,TP Learning,TP Learning,Visual,Non-linguistic,Probability,Adjacent,Reaction time,Reaction time,Processing based,Processing,Comprehensive Assessment of Spoken Languageg - Grammaticallity judgement,Syntax,Syntax,Comprehension,TD,TD,17,0.522,0.187843824,0.579084903,0.267261242
237,Original,Kidd and Arciuli (2016),2016,"7,083",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,4AFC,Forced choice test,Reflection based,Acquisition,Peabody Picture Vocabulary Test - 2,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,68,0.22,0.117133863,0.223656109,0.124034735
238,Original,Lany (2014),2014,"1,833",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Reflection based,Acquisition,MCDI short form,Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,40,0.12,0.159885433,0.120581028,0.164398987
239,Original,Lany (2014),2014,"1,833",Infants,Object label association task,Combination task,Combination task,Auditory/Visual,Linguistic,Duplet,Adjacent,Gaze duration ,Gaze duration,Reflection based,Acquisition,MCDI short form,Syntax,Syntax,Comprehension,TD,TD,40,0.45,0.129371583,0.484700279,0.164398987
240,Original,Frost et al. (2013),2013,"26,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Speed of decoding pointed nonwords,Phonology,Phonology,Phonology,TD,TD,27,0.57,0.13502,0.647522845,0.204124145
241,Original,Frost et al. (2013),2013,"26,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Naming of unpointed words,Reading,Reading,Literacy,TD,TD,27,0.43,0.16302,0.459896681,0.204124145
242,Original,Frost et al. (2013),2013,"26,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,Cross-modal morphological priming,Syntax,Syntax,Comprehension,TD,TD,27,0.57,0.13502,0.647522845,0.204124145
243,Original,Arciuli and Simpson (2012),2012,"9,083",Children,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,WRAT - 4,Reading,Reading,Literacy,TD,TD,38,0.327,0.148845167,0.339465352,0.169030851
244,Original,Arciuli and Simpson (2012),2012,"21,000",Adults,Triplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Triplet,Adjacent,2AFC,Forced choice test,Reflection based,Acquisition,WRAT - 4,Reading,Reading,Literacy,TD,TD,37,0.338,0.14972009,0.351832842,0.171498585
245,Original,Kidd (2012),2012,"5,583",Children,SRTT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,10 positional sequence,Adjacent,Reaction time,Reaction time,Processing based,Processing,British Picture Vocabulary Scale II,Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,100,0.183,0.097632355,0.185084885,0.101534617
246,Pubmed,"Conway, Karpicke, and Pisoni (2007)",2007,27,Adults,SRTT,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Spoken sentence perception (SSP)  under degraded listening conditions - High predictability sentences,Comprehension,Comprehension,Comprehension,TD,TD,20,0.48,0.18139646,0.522984278,0.242535625
247,Pubmed,"Conway, Karpicke, and Pisoni (2007)",2007,27,Adults,SRTT,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Spoken sentence perception (SSP)  under degraded listening conditions - Low predictability sentences,Comprehension,Comprehension,Comprehension,TD,TD,20,0.56,0.161786032,0.632833187,0.242535625
248,Pubmed,"Conway, Karpicke, and Pisoni (2007)",2007,27,Adults,SRTT,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Spoken sentence perception (SSP)  under degraded listening conditions - Anomalous sentences,Comprehension,Comprehension,Comprehension,TD,TD,20,0.36,0.205155247,0.376885901,0.242535625
249,Ren,Ellis et al. (2014),2014,"1,834",Infants,Duplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Duplet,Adjacent,Reaction time,Reaction time,Processing based,Processing,"MacArthur-Bates Communicative Developmental Inventor - Short Form, Level I (MBCDI)",Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,21,0.512,0.169275776,0.565436575,0.23570226
250,Ren,Ellis et al. (2014),2014,"1,834",Infants,Duplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Duplet,Adjacent,Reaction time,Reaction time,Processing based,Processing,Computerized Comprehension Test (CCT),Receptive vocabulary,Vocabulary,Vocabulary,TD,TD,21,0.499,0.172290987,0.547973699,0.23570226
251,Ren,Ellis et al. (2014),2014,"1,834",Infants,Duplet learning,TP Learning,TP Learning,Visual,Non-linguistic,Duplet,Adjacent,Reaction time,Reaction time,Processing based,Processing,"MacArthur-Bates Communicative Developmental Inventor - Short Form, Level I (MBCDI)",Expressive vocabulary,Vocabulary,Vocabulary,TD,TD,22,0.569,0.151211637,0.646042831,0.229415734
252,Ren,Granena (2013),2013,"22,38",Adults,SRTT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,12 positional sequence,Adjacent,Difference score,Reaction time,Processing based,Processing,Metalinguistic Knowledge Task - agreement sentence type,Syntax,Syntax,Comprehension,TD,TD,50,0.21,0.137972281,0.213171347,0.145864992
253,Ren,Granena (2013),2013,"22,38",Adults,LLAMA D,SRTT,Sequence learning,Auditory,Linguistic,Sound sequence,Adjacent,Word recognition,Recall,Reflection based,Acquisition,Metalinguistic Knowledge Task - agreement sentence type,Syntax,Syntax,Comprehension,TD,TD,50,0.41,0.120074422,0.435611223,0.145864992
254,Ren,Granena (2013),2013,"22,38",Adults,LLAMA D,SRTT,Sequence learning,Auditory,Linguistic,Sound sequence,Adjacent,Word recognition,Recall,Reflection based,Acquisition,Metalinguistic Knowledge Task - non-agreement sentence type,Syntax,Syntax,Comprehension,TD,TD,50,-0.01,0.144323134,-0.010000333,0.145864992
255,Ren,Granena (2013),2013,"29,46",Adults,SRTT,SRTT,Sequence learning,Visual/Spatial,Non-linguistic,12 positional sequence,Adjacent,Difference score,Reaction time,Processing based,Processing,Word Monitoring Task - agreement sentence type,Syntax,Syntax,Comprehension,TD,TD,50,0.36,0.125631419,0.376885901,0.145864992
